"","target_id","gene_id","qvalue","FC_log2"
"5","ENST00000396418.7","PKIA",9.38315239701423e-10,1.35449958802521
"10","ENST00000508179.1","SNHG18",3.99215053014867e-07,2.01034977251479
"8","ENST00000440735.2","LINC00431",1.2275312942704e-06,2.54641663919698
"7","ENST00000435127.1","AC002480.1",5.25157967499579e-06,1.98360370697294
"3","ENST00000352966.9","PKIA",5.31571738684611e-06,1.19336550319689
"1","ENST00000226230.8","TMEM97",9.48564867881183e-06,1.5641854896532
"4","ENST00000379818.4","MT1M",9.49773849668469e-06,1.17822875224508
"11","ENST00000544008.1","MYEOV",1.04140597157964e-05,1.83830466229792
"2","ENST00000330029.6","UQCR10",2.57969118850423e-05,1.85559968013041
"9","ENST00000498135.5","TMEM50A",2.57969118850423e-05,1.33820622359181
"6","ENST00000433108.1","MIR205HG",3.08085457105962e-05,1.54850679424994
"12","ENST00000655411.1","SNHG18",9.1300009748657e-05,1.86620079672825
"13","MSTRG.24041.1",NA,9.65067655695748e-05,2.11490169467733
