"","target_id","gene_id","qvalue","FC_log2"
"4","ENST00000427140.5","APCDD1L-DT",1.81584169457984e-07,-2.62747590523949
"5","ENST00000440735.2","LINC00431",1.2275312942704e-06,-3.00361135575209
"9","ENST00000544008.1","MYEOV",1.04140597157964e-05,-2.02304411776135
"8","ENST00000515614.3","LINC00942",1.85859063829145e-05,-1.33040856325207
"1","ENST00000292169.6","S100A1",1.97772343643662e-05,-1.16045880151809
"7","ENST00000462917.1","EIF1",2.0927419676564e-05,-1.54564488920993
"12","ENST00000661344.1","AC008780.1",2.57003828904233e-05,-2.36893445144597
"6","ENST00000441095.2","LINC01694",4.55438307402166e-05,-1.90885664863255
"11","ENST00000656081.1","AC026748.7",7.07053699098618e-05,-1.42207257387168
"2","ENST00000305943.8",NA,7.51007753196216e-05,-1.51158070734375
"3","ENST00000368452.7","PKIB",7.61318158813306e-05,-1.6435500516383
"10","ENST00000655411.1","SNHG18",9.1300009748657e-05,-1.51351320353759
